score_frame,audio_frame
0,0
0,1
0,2
0,3
0,4
0,5
1,6
2,7
3,8
4,9
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,39
35,40
36,41
37,42
38,43
39,44
40,45
40,46
40,47
40,48
40,49
40,50
40,51
40,52
40,53
40,54
40,55
41,56
42,57
43,58
44,59
45,60
46,61
47,62
48,63
49,64
50,65
51,66
52,67
53,68
54,69
55,70
56,71
57,72
58,73
59,74
60,75
60,76
60,77
60,78
60,79
60,80
60,81
60,82
60,83
60,84
60,85
60,86
60,87
60,88
60,89
60,90
60,91
60,92
61,93
62,94
63,95
64,96
65,97
66,98
67,99
68,100
69,101
70,102
71,103
72,104
73,105
74,106
75,107
76,108
77,109
78,110
79,111
80,112
80,113
80,114
80,115
80,116
80,117
80,118
80,119
80,120
80,121
80,122
80,123
80,124
80,125
80,126
80,127
80,128
80,129
80,130
80,131
80,132
80,133
80,134
80,135
80,136
80,137
80,138
80,139
80,140
80,141
80,142
80,143
80,144
80,145
81,146
82,147
83,148
84,149
85,150
86,151
87,152
88,153
89,154
90,155
91,156
92,157
93,158
94,159
95,160
96,161
97,162
98,163
99,164
100,165
101,166
102,167
103,168
104,169
105,170
106,171
107,172
108,173
109,174
110,175
111,176
112,177
113,178
114,179
115,180
116,181
117,182
118,183
119,184
120,185
120,186
120,187
120,188
120,189
120,190
120,191
120,192
120,193
120,194
120,195
120,196
120,197
120,198
120,199
120,200
120,201
120,202
120,203
120,204
120,205
120,206
120,207
120,208
120,209
120,210
120,211
120,212
120,213
120,214
120,215
120,216
120,217
120,218
120,219
120,220
120,221
120,222
120,223
120,224
120,225
120,226
120,227
120,228
120,229
120,230
120,231
120,232
120,233
120,234
120,235
120,236
120,237
120,238
120,239
120,240
120,241
120,242
120,243
120,244
120,245
120,246
120,247
120,248
120,249
120,250
120,251
120,252
120,253
120,254
120,255
120,256
120,257
120,258
120,259
120,260
120,261
121,262
122,263
123,264
124,265
125,266
126,267
127,268
128,269
129,270
130,271
131,272
132,273
133,274
134,275
135,276
136,277
137,278
138,279
139,280
140,281
141,282
142,283
143,284
144,285
145,286
146,287
147,288
148,289
149,290
150,291
151,292
152,293
153,294
154,295
155,296
156,297
157,298
158,299
159,300
160,301
160,302
160,303
161,304
162,305
163,306
164,307
165,308
166,309
167,310
168,311
169,312
170,313
171,314
172,315
173,316
174,317
175,318
176,319
177,320
178,321
179,322
180,323
181,324
182,325
183,326
184,327
185,328
186,329
187,330
188,331
189,332
190,333
191,334
192,335
193,336
194,337
195,338
196,339
197,340
198,341
199,342
200,343
200,344
200,345
200,346
200,347
200,348
200,349
200,350
200,351
200,352
200,353
201,354
202,355
203,356
204,357
205,358
206,359
207,360
208,361
209,362
210,363
211,364
212,365
213,366
214,367
215,368
216,369
217,370
218,371
219,372
220,373
220,374
220,375
220,376
220,377
220,378
220,379
220,380
220,381
220,382
221,383
222,384
223,385
224,386
225,387
226,388
227,389
228,390
229,391
230,392
231,393
232,394
233,395
234,396
235,397
236,398
237,399
238,400
239,401
240,402
240,403
240,404
240,405
240,406
240,407
240,408
240,409
240,410
240,411
240,412
240,413
240,414
240,415
240,416
240,417
240,418
240,419
240,420
240,421
240,422
240,423
240,424
240,425
240,426
240,427
240,428
240,429
240,430
240,431
240,432
240,433
240,434
240,435
241,436
242,437
243,438
244,439
245,440
246,441
247,442
248,443
249,444
250,445
251,446
252,447
253,448
254,449
255,450
256,451
257,452
258,453
259,454
260,455
261,456
262,457
263,458
264,459
265,460
266,461
267,462
268,463
269,464
270,465
271,466
272,467
273,468
274,469
275,470
276,471
277,472
278,473
279,474
280,475
281,476
282,477
283,478
284,479
285,480
286,481
287,482
288,483
289,484
290,485
291,486
292,487
293,488
294,489
295,490
296,491
297,492
298,493
299,494
300,495
301,496
302,497
303,498
304,499
305,500
306,501
307,502
308,503
309,504
310,505
311,506
312,507
313,508
314,509
315,510
316,511
317,512
318,513
319,514
320,515
320,516
320,517
320,518
320,519
320,520
320,521
320,522
320,523
320,524
320,525
320,526
320,527
320,528
320,529
320,530
320,531
320,532
320,533
320,534
320,535
320,536
320,537
320,538
320,539
320,540
320,541
320,542
320,543
320,544
320,545
320,546
